 id  redshift          LSST-u       LSST-u_err          LSST-g       LSST-g_err          LSST-r       LSST-r_err          LSST-i       LSST-i_err          LSST-z       LSST-z_err          LSST-y       LSST-y_err      WFIRST_106   WFIRST_106_err      WFIRST_129  WFIRST_129_err      WFIRST_158   WFIRST_158_err      WFIRST_184  WFIRST_184_err 
 24       0.1   0.46779272686  0.0661558818705   1.80641844007   0.255466145727   4.08777502619   0.578098688197   6.54181577399   0.925152459012   9.04134596007    1.27863940788   11.4712919682    1.62228566794   13.6934997688    1.93655330894   17.9307094479   2.53578524842   22.4658835478     3.1771557204   27.3091478631   3.86209672848 
 25       0.1   0.11065459052  0.0156489222652  0.174153656425  0.0246290462853  0.201686385417  0.0285227621603  0.275051479954  0.0388981533302  0.277568156604  0.0392540651552  0.331712465939  0.0469112268139  0.376625345379  0.0532628671368  0.429514991831  0.060742592669  0.502140803324  0.0710134334282  0.584532800303  0.082665421384 
 26       0.1   1.11161296119   0.157205812582   2.41111614423   0.340983315163   3.33385729551   0.471478620233   4.43071740521   0.626598064549   5.05048036505   0.714245782875   5.95351322223   0.841953914265   6.72541224951   0.951116921581   7.89000027976   1.11581454028   9.25368496272    1.30866867762   10.7262409605   1.51691954396 
 27       0.1   1.49744932275    0.21177131412   3.66300950453   0.518027772041   5.58789429844   0.790247590196    7.6682648933     1.0844564212   9.13699647272    1.29216643311   10.8720604618     1.5375415356   12.3509124733    1.74668279274    14.810824513   2.09456688962   17.6644042094    2.49812400042   20.7028226205   2.92782125293 
 20       0.1  0.423802757771  0.0599347607811  0.667790293958  0.0944398090537  0.774266917261   0.109497877529   1.05539623915   0.149255567508   1.06697565276   0.150893143886   1.27509101004   0.180325099966   1.44763449496   0.204726433613   1.65179586185   0.23359921101   1.93162352242   0.273172818281   2.24863346239  0.318004793932 
 21       0.1   2.80906181866   0.397261332149   6.31009138015   0.892381680962   8.88440904487    1.25644517649   11.8267551023    1.67255574645   13.5954143691    1.92268193869   16.0259235506    2.26640784348   18.1044798516    2.56036009458   21.2917146201   3.01110315819   25.0037989951    3.53607116497   29.0072828138   4.10224927629 
 22       0.1   2.39488890304   0.338688436706   6.32662173286   0.894719425861   10.1869846713    1.44065718818   14.2121767629    2.00990531289   17.2995838466    2.44653060993    20.680178805    2.92461893383   23.5630607036    3.33232000181   28.5458584204   4.03699401277   34.2968575218    4.85030810541   40.3845588227   5.71123907975 
 23       0.1   1.49621489422   0.211596739563   4.45975733692   0.630704931077   8.05980066552    1.13982794112   11.7971478296    1.66836864579   15.0565011643    2.12931081484   18.3448776143    2.59435747222   21.1955336795    2.99750111913   26.4232348303   3.73680970588   32.3114556738    4.56952988339   38.4890249189   5.44317010428 
 28       0.1     1.454367568   0.205678633934   3.82503540595   0.540941694765   6.26689746584   0.886273139019   8.85762008182    1.25265664501   10.8995082111    1.54142323353   13.1195864896    1.85538971463   15.0285495337    2.12535785734   18.3718833093   2.59817665423   22.1891743053    3.13802312404   26.2200972188   3.70808170936 
 29       0.1  0.989196297158   0.139893481929   2.91542151182   0.412302864205   5.37739872042   0.760479020071   8.00139299787    1.13156784955   10.3662702215    1.46601199385   12.7806385893    1.80745524288   14.9225632684    2.11036913595   18.8590148353   2.66706745531   23.2010291684     3.2811210111   27.8082256619   3.93267698766 
  0       0.1   26.5249044835    3.75118796612   52.2496969764    7.38922300939   69.7081728232    9.85822434148   89.8474850119    12.7063531849   105.705870194    14.9490675251   124.081964898    17.5478397605   139.023594055    19.6609052202   163.339075323   23.0996335587   191.903119433    27.1391994164   219.815727678   31.0866383305 
  5       0.1   19.6318842805    2.77636770044   31.7077226303    4.48414913757   37.6022875897    5.31776650856   50.7805136468    7.18144911036   53.0485239022    7.50219419664   63.3478532509    8.95873932146   71.8144904778    10.1561026409   82.6836473872   11.6932335521   97.1112377223    13.7336029446   113.043863241   15.9868164538 
  6       0.1   1.02372147013   0.144776078715   5.45965818525    0.77211226515   11.2180690135    1.58647453425   16.3294002494    2.30932592981   21.0858046964    2.98198309752   25.2764775916    3.57463374191    28.661341637    4.05332580589   35.1678571593   4.97348605543   42.8321879367    6.05738610862   50.9120296091   7.20004827611 
 11       0.1    2.5405697573   0.359290820693   8.98863855099    1.27118545461   15.5698243497    2.20190567591   21.5483909834     3.0474026776    26.697672396    3.77562103862   31.6728474984    4.47921704912   35.8471119143    5.06954718411   43.2237147897   6.11275636717   51.7222621918    7.31463246683    60.799070598   8.59828702194 
 10       0.1   7.50316200131    1.06110734629    11.943335051    1.68904264091   13.9820848774    1.97736540639   18.9823999444    2.68451674478   19.4712689123    2.75365325724   23.2643601711    3.29007736739   26.3966690451    3.73305273651   30.2438009092   4.27711934235   35.4407487686    5.01207875692   41.2621100098    5.8353435588 
 13       0.1  0.218696880222  0.0309284094059   1.29715502503    0.18344542289   3.60411733999    0.50969916226   6.09880567554   0.862501370063   8.79835942646    1.24427592275   11.3476708918    1.60480300765   13.6811588052    1.93480803313   18.2416452154   2.57975820636   23.0703451347    3.26263949781   28.1890923131   3.98653966602 
 12       0.1  0.445143765325  0.0629528350128   2.42707585139   0.343240358594   6.05811285901    0.85674653676   9.75873134575    1.38009302207    13.418777978     1.8977017807    16.689884124    2.36030604826   19.5476763789    2.76445890479   25.2107440294   3.56533761239    31.527318952    4.45863620472    37.952844544   5.36734274848 
